node_id,node_description
Bookstore,
CYMAmenitiesCtr_2F_Entrance,
CYMAmenitiesCtr_4F_Entrance,
CYMAmenitiesCtr_CYMCanteen,
CYMAmenitiesCtr_GF_Entrance,
CYMAmenitiesCtr_GF_VendingHub,
CYM_Physics_Chemistry_3F,
ChiWah_1F_North,RRSTower Side
ChiWah_1F_South,JCT Side
ChiWah_Staircase,Opposite Alfafa
ChowYeiChingBuilding_GF,
ChowYeiChingBuilding_LGF,
CompositeBuilding_1F,Upper University Street
CompositeBuilding_GF,Lower University Street
East_Gate_Exist,
FungPingShan_Building,
HakingWong_Lift_Inside_4F,Near SU canteen.
HakingWong_Lift_Outside_4F,"Able to take lift to MTR Exit A1, near HKU Engg UG Office."
HakingWong_Lift_Outside_5F,
InnoWingTwo,
JockeyClubTower_Lift_GF,
JockeyClubTower_Lift_LGF,
KKLeung_Building_GF,
KKLeung_Building_LG2F,
Knowles_Building,
LawLibrary,
Library Extension,"near the main building, on the floor of LE 1"
LiftLobby_NearCoffeeAcademics,"The lift close to Coffee Academïcs, on the same level as Happy Park."
Lift_Between_KKLeung_Knowles,
MTR_C1_Exit,
Main Building,the same floor of LE 1
MainLib_2F_Entrance,
MainLib_GF_Entrance,
MengWahComplex_1F,
MengWahComplex_GF,
RaysonHTheatre_GF,
RedWall,
RunRunSBuilding_GF_Entrance,
RunRunShawTower_Lift_GF,
RunRunShawTower_Lift_LGF,
RunmeS_4F,
RunmeS_GF_Entrance,
SURestaurant,
StephenH_GeoMuseum_Entrance,
SunYatSenPlace_HappyPark,the flat ground
SunYatSenSteps_KnowlesBuilding_1F,the door
SunYatSen_LilyPond,
Swire_Building,
TTTsui_Building_3F_Entrance,
TTTsui_Building_LG_Entrance,
TangChiNgong_Building,
UStr_Lower_InnoWing_Terminal,Lower University Street - terminal near InnoWing
UStr_Upper_InnoWing_Entrance,
UStr_Upper_LiftLobby_NearInnoWing,Upper University Street - the lift lobby near InnoWing
UStr_Upper_MTR_Exit,
